product_id,product_name,category,brand,price,cost_price,discount_pct,rating,num_reviews,stock_quantity,reorder_point,weight_kg,sku,launch_date,is_active,is_featured,warranty_period,supplier_id,tags
1,ReadMore Electronics 1,Electronics,ReadMore,473.14,319.33,0.48,4.5,1301,242.0,64,22.11,SKU-00001,2022-03-22,false,false,3 years,SUP-002,"electronics,readmore,trending"
2,ReadMore Sports 2,Sports,ReadMore,930.52,551.52,0.33,3.5,4833,751.0,73,32.03,SKU-00002,2024-05-23,false,false,2 years,SUP-004,"sports,readmore,trending"
3,AutoMart Food 3,Food,AutoMart,732.76,259.13,0.02,3.6,1462,793.0,98,2.68,SKU-00003,2023-05-09,true,true,2 years,SUP-005,"food,automart,trending"
4,MelodyBox Electronics 4,Electronics,MelodyBox,1073.45,533.74,0.46,2.1,3784,804.0,27,17.3,SKU-00004,2023-01-10,false,false,2 years,SUP-005,"electronics,melodybox,trending"
5,FreshBite Beauty 5,Beauty,FreshBite,890.95,341.19,0.09,5.0,3558,752.0,100,35.69,SKU-00005,2025-04-04,false,true,1 year,SUP-036,"beauty,freshbite,trending"
6,FreshBite Clothing 6,Clothing,FreshBite,258.04,173.19,0.29,4.6,1570,970.0,90,8.4,SKU-00006,2024-07-29,false,true,3 years,SUP-048,"clothing,freshbite,trending"
7,SportZone Electronics 7,Electronics,SportZone,275.07,178.95,0.18,4.7,1892,79.0,88,30.14,SKU-00007,2025-03-31,true,true,6 months,SUP-047,"electronics,sportzone,trending"
8,MelodyBox Beauty 8,Beauty,MelodyBox,891.79,508.13,0.33,2.3,2559,707.0,17,17.37,SKU-00008,2024-08-19,true,false,3 years,SUP-024,"beauty,melodybox,trending"
9,FreshBite Electronics 9,Electronics,FreshBite,829.61,505.84,0.15,2.1,4733,609.0,61,9.97,SKU-00009,2023-12-11,false,false,lifetime,SUP-027,"electronics,freshbite,trending"
10,ReadMore Beauty 10,Beauty,ReadMore,1154.2,455.99,0.47,4.2,4741,358.0,88,39.08,SKU-00010,2023-06-11,false,false,2 years,SUP-048,"beauty,readmore,trending"
11,ReadMore Books 11,Books,ReadMore,1350.84,720.11,0.17,1.8,1547,708.0,51,30.66,SKU-00011,2023-12-20,false,true,lifetime,SUP-027,"books,readmore,trending"
12,PlayFun Home & Garden 12,Home & Garden,PlayFun,169.05,101.27,0.46,1.4,4887,411.0,49,17.2,SKU-00012,2025-10-09,true,false,1 year,SUP-026,"home & garden,playfun,trending"
13,MelodyBox Toys 13,Toys,MelodyBox,19.68,12.62,0.37,2.0,4024,237.0,28,7.12,SKU-00013,2023-06-19,true,false,no warranty,SUP-032,"toys,melodybox,trending"
14,AutoMart Food 14,Food,AutoMart,1303.22,890.25,0.5,1.8,1413,216.0,79,5.69,SKU-00014,2024-11-22,true,false,6 months,SUP-034,"food,automart,trending"
15,MelodyBox Music 15,Music,MelodyBox,1126.42,497.11,0.43,3.7,2622,877.0,25,3.62,SKU-00015,2022-11-27,false,false,lifetime,SUP-028,"music,melodybox,trending"
16,AutoMart Home & Garden 16,Home & Garden,AutoMart,1337.27,517.5,0.04,3.4,1686,239.0,23,44.89,SKU-00016,2024-12-31,false,true,1 year,SUP-004,"home & garden,automart,trending"
17,PlayFun Beauty 17,Beauty,PlayFun,1173.3,624.88,0.13,4.3,219,235.0,78,4.87,SKU-00017,2022-02-08,true,false,2 years,SUP-036,"beauty,playfun,trending"
18,StyleHub Toys 18,Toys,StyleHub,1017.88,679.01,0.06,3.0,2494,76.0,42,1.28,SKU-00018,2022-06-28,false,true,1 year,SUP-034,"toys,stylehub,trending"
19,GlowUp Sports 19,Sports,GlowUp,98.71,54.66,0.24,2.8,1569,184.0,18,14.15,SKU-00019,2025-05-27,false,true,1 year,SUP-043,"sports,glowup,trending"
20,TechPro Books 20,Books,TechPro,423.76,236.33,0.33,2.0,1678,307.0,26,5.31,SKU-00020,2024-04-22,false,true,6 months,SUP-002,"books,techpro,trending"
21,GlowUp Sports 21,Sports,GlowUp,7.91,2.41,0.15,1.8,1920,336.0,52,48.01,SKU-00021,2024-07-21,false,true,6 months,SUP-047,"sports,glowup,trending"
22,ReadMore Automotive 22,Automotive,ReadMore,1028.53,361.18,0.12,4.8,3467,755.0,98,23.27,SKU-00022,2025-09-07,true,false,3 years,SUP-050,"automotive,readmore,trending"
23,FreshBite Clothing 23,Clothing,FreshBite,1202.1,649.09,0.38,4.8,4540,497.0,80,45.32,SKU-00023,2024-07-18,false,false,3 years,SUP-048,"clothing,freshbite,trending"
24,PlayFun Automotive 24,Automotive,PlayFun,1297.83,502.38,0.24,3.6,1055,790.0,87,26.9,SKU-00024,2024-12-27,true,false,no warranty,SUP-041,"automotive,playfun,trending"
25,TechPro Books 25,Books,TechPro,420.21,206.16,0.02,2.4,4808,253.0,53,36.99,SKU-00025,2024-04-19,true,false,no warranty,SUP-015,"books,techpro,trending"
26,StyleHub Sports 26,Sports,StyleHub,810.13,534.31,0.02,4.8,4741,657.0,49,36.42,SKU-00026,2022-03-24,true,true,2 years,SUP-032,"sports,stylehub,trending"
27,FreshBite Toys 27,Toys,FreshBite,500.52,188.74,0.28,4.1,4418,638.0,40,33.12,SKU-00027,2022-10-15,true,false,2 years,SUP-020,"toys,freshbite,trending"
28,HomeBliss Music 28,Music,HomeBliss,1151.98,614.48,0.22,3.7,2590,252.0,62,11.47,SKU-00028,2023-10-06,false,false,6 months,SUP-009,"music,homebliss,trending"
29,AutoMart Electronics 29,Electronics,AutoMart,1445.48,476.84,0.18,2.8,2286,186.0,97,44.78,SKU-00029,2024-01-06,false,false,1 year,SUP-044,"electronics,automart,trending"
30,SportZone Toys 30,Toys,SportZone,427.21,257.92,0.02,4.0,4228,708.0,96,20.72,SKU-00030,2024-08-16,true,true,6 months,SUP-049,"toys,sportzone,trending"
31,TechPro Electronics 31,Electronics,TechPro,686.02,244.18,0.33,4.7,177,769.0,89,15.59,SKU-00031,2022-05-20,true,true,2 years,SUP-026,"electronics,techpro,trending"
32,AutoMart Clothing 32,Clothing,AutoMart,553.76,275.06,0.35,4.6,2289,95.0,12,47.63,SKU-00032,2023-09-29,false,false,3 years,SUP-006,"clothing,automart,trending"
33,GlowUp Food 33,Food,GlowUp,389.38,159.4,0.48,1.5,2394,301.0,73,3.06,SKU-00033,2023-06-14,false,false,6 months,SUP-008,"food,glowup,trending"
34,StyleHub Electronics 34,Electronics,StyleHub,755.61,367.59,0.01,2.0,2673,463.0,16,34.68,SKU-00034,2025-09-12,false,true,6 months,SUP-030,"electronics,stylehub,trending"
35,ReadMore Home & Garden 35,Home & Garden,ReadMore,465.4,209.65,0.21,3.1,3955,657.0,42,30.08,SKU-00035,2025-10-23,true,true,no warranty,SUP-050,"home & garden,readmore,trending"
36,SportZone Electronics 36,Electronics,SportZone,1198.15,468.51,0.49,4.2,3623,624.0,74,46.68,SKU-00036,2025-03-20,true,false,3 years,SUP-037,"electronics,sportzone,trending"
