product_id,product_name,category,brand,price,cost_price,discount_pct,rating,num_reviews,stock_quantity,reorder_point,weight_kg,sku,launch_date,is_active,is_featured,warranty_period,supplier_id,tags
1501,Scholastic Rich Dad Poor Dad,Books,Scholastic,4578.97,2659.6,20.5,3.5,9721,5683.0,342,13.91,SKU-ED0TZDWH,2025-01-26,Yes,No,2 Years,SUP-4084,clearance|organic|bestseller|sustainable
1502,Whiskas Bird Cage Stainless,Pet Supplies,Whiskas,2250.67,1123.13,15.6,2.1,9069,9362.0,207,9.51,SKU-X4M8T1QO,2025-03-02,No,No,6 months,SUP-7971,sustainable|bestseller|organic|limited
1503,Decathlon Yoga Wheel,Sports & Fitness,Decathlon,6338.19,3452.54,35.6,3.5,4351,5854.0,314,16.43,SKU-N7CSHQBE,2025-02-23,Yes,Yes,2 years,SUP-1788,bestseller
1504,Garnier Beard Oil 50ml,Beauty & Personal Care,Garnier,2305.81,992.56,4.5,2.1,5631,3432.0,316,19.47,SKU-7XBAR3CP,2025-02-11,YES,No,1 Year,SUP-9687,organic
1505,Swarovski Bangle Set Gold,Jewellery & Watches,Swarovski,6206.09,3619.72,30.8,2.1,6169,9111.0,277,17.99,SKU-LSH2BHJO,2025-02-21,Yes,No,2 years,SUP-4044,eco|premium
1506,Shell Car Phone Mount Magnetic,Automotive,Shell,3722.22,1534.06,19.4,4.6,3153,7820.0,115,16.42,SKU-VODFGGFH,2025-01-06,yes,Yes,No Warranty,SUP-7350,organic|popular|clearance|top-rated
1507,Drools Dog Leash Retractable,Pet Supplies,Drools,2446.65,1466.61,15.5,2.6,2547,7279.0,247,13.66,SKU-E3GCKVBH,2025-01-23,YES,No,3 years,SUP-9996,sale
1508,Castrol Jump Starter Pack,Automotive,Castrol,6516.44,3754.77,15.9,3.7,3510,1400.0,428,1.09,SKU-GBN41I4I,2025-02-06,YES,No,6 months,SUP-5136,premium|new|flash|trending
1509,Dettol Blood Pressure Monitor,Health & Wellness,Dettol,2411.31$,1669.09,20.0,2.8,8350,7161.0,71,4.24,SKU-YIK1CP8J,2025-03-30,YES,No,6 months,SUP-7219,top-rated|popular
1510,ITC Almond Butter 250g,Grocery & Gourmet,ITC,7223.7,5024.08,22.9,1.5,8145,3055.0,219,16.16,SKU-T7J5OXVK,2025-01-02,yes,No,Lifetime,SUP-3285,top-rated|limited
1511,Levi's Ethnic Kurta,Clothing,Levi's,2554.75,1428.44,13.8,2.0,7651,7308.0,286,19.53,SKU-AMK46Y2J,2025-01-11,NO,No,3 years,SUP-8446,bestseller|new
1512,MAC Body Scrub 200g,Beauty & Personal Care,MAC,5616.33,3271.3,10.2,3.7,6412,5935.0,250,12.04,SKU-ETALY0G2,2025-02-11,Yes,No,Lifetime,SUP-8038,new|sustainable|premium|eco
1513,Aashirvaad Moringa Powder 200g,Grocery & Gourmet,Aashirvaad,2899.6,1679.88,38.7,1.1,1015,4500.0,329,22.7,SKU-QTWW11HA,2025-01-17,Yes,No,1 Year,SUP-2141,popular|top-rated|premium
1514,Whiskas Automatic Pet Feeder,Pet Supplies,Whiskas,152.03,103.62,17.0,1.9,2696,8339.0,440,21.82,SKU-K8WZUGD5,2025-03-19,NO,No,3 years,SUP-8970,clearance|eco|popular|premium
1515,OUP Ikigai,Books,OUP,2218.16,927.8,30.0,3.7,3743,8023.0,447,24.82,SKU-565ZOUZM,2025-01-24,Yes,No,2 Years,SUP-2379,sale|limited|new|organic
1516,Nerf Kinetic Sand 1kg,Toys & Games,Nerf,8202.41,4562.13,32.4,2.5,7701,7252.0,50,2.95,SKU-37R66RGC,2025-01-21,Yes,No,2 Years,SUP-9504,popular|premium|organic
1517,Cello Induction Cooktop 2000W,Home & Kitchen,Cello,6952.69,4899.41,16.3,2.7,7002,1226.0,274,21.3,SKU-M0UTWUOF,2025-01-16,Yes,No,1 year,SUP-2587,trending|new|limited|top-rated
1518,Penguin The Psychology of Money,Books,Penguin,3158.35,1560.18,31.6,3.8,185,7927.0,318,2.88,SKU-I1FPZP2E,2025-02-16,YES,Yes,2 years,SUP-8541,new|flash
1519,Lego Musical Keyboard Kids,Toys & Games,Lego,4727.02,2440.01,28.5,4.4,7546,1804.0,118,8.61,SKU-71GM8T0E,2025-03-01,Yes,No,2 years,SUP-6790,trending|flash
1520,Casio Drum Pad Practice,Music & Instruments,Casio,3938.67,2206.96,22.7,3.2,6846,3377.0,414,21.23,SKU-XF5ZW1VM,2025-02-08,Yes,No,1 year,SUP-2391,flash|trending|eco|top-rated
1521,Patanjali Oat Bran 500g,Grocery & Gourmet,Patanjali,5370.2,2593.74,24.3,1.2,2124,7650.0,189,6.07,SKU-L0FXS7I7,2025-02-06,Yes,No,1 Year,SUP-1885,bestseller
1522,Pedigree Dog Raincoat,Pet Supplies,Pedigree,2834.02,1260.02,8.6,2.1,9486,6506.0,277,24.15,SKU-5C3541NL,2025-03-06,NO,Yes,1 year,SUP-6327,limited|popular|clearance
1523,Staples A4 Copy Paper 500 Sheets,Office Supplies,Staples,800.43,345.83,16.1,4.2,3748,305.0,175,24.35,SKU-53KEPCMV,2025-02-23,YES,No,No Warranty,SUP-9299,sale|organic|popular|eco
1524,Gibson Ukulele Soprano,Music & Instruments,Gibson,5550.96,3185.29,16.6,2.6,829,7958.0,106,22.95,SKU-3VTYA5KO,2025-02-25,yes,No,2 Years,SUP-2480,top-rated|eco|premium
1525,Fastrack Diamond Stud Earrings,Jewellery & Watches,Fastrack,98.48,65.89,38.3,2.0,7431,7754.0,123,18.12,SKU-XFUPUBH6,2025-02-25,Yes,No,2 years,SUP-8649,eco|bestseller|popular
1526,Fiskars Garden Hose 15m,Garden & Outdoors,Fiskars,5077.6,2587.39,7.4,3.7,9174,5864.0,100,13.17,SKU-F7BO9QFI,2025-03-10,Yes,No,3 years,SUP-9748,sale|organic|clearance|premium
1527,Tanishq Bangle Set Gold,Jewellery & Watches,Tanishq,4254.79,3040.65,33.2,3.9,912,7785.0,307,20.4,SKU-SIUH4PH2,2025-03-31,no,No,2 years,SUP-5288,trending|new
1528,Borosil Chopper Manual,Home & Kitchen,Borosil,8341.73,3421.59,27.1,4.4,6180,8567.0,229,16.78,SKU-4JXYS5TI,2025-03-06,Yes,Yes,2 Years,SUP-6868,organic
1529,Greenworks Lawn Mower Manual,Garden & Outdoors,Greenworks,8781.6,5443.11,34.3,1.6,3373,6854.0,149,18.82,SKU-ILURDW7P,2025-01-20,Yes,No,No Warranty,SUP-6703,premium|flash|popular|trending
1530,Nike Formal Trousers,Clothing,Nike,3119.33,1496.32,1.2,3.1,5443,4951.0,56,8.59,SKU-ATHNFOZT,2025-03-30,Yes,No,2 Years,SUP-3949,organic|sale|sustainable|popular
1531,Prestige Induction Cooktop 2000W,Home & Kitchen,Prestige,6014.4,3251.14,22.9,2.2,6059,8105.0,93,2.47,SKU-C5A76IFC,2025-01-10,No,No,1 year,SUP-1944,new|bestseller|organic|clearance
1532,Casio Analog Watch Classic,Jewellery & Watches,Casio,740.06,444.0,25.7,1.8,9428,2318.0,488,10.61,SKU-J7XPXC40,2025-01-29,Yes,No,Lifetime,SUP-6108,new|clearance
1533,Rupa Mindset,Books,Rupa,1759.1,945.2,18.1,4.8,6849,9567.0,88,11.62,SKU-LMETCBJW,2025-03-28,yes,No,6 months,SUP-9015,top-rated|flash|sustainable|sale
1534,Patanjali Dried Cranberries 150g,Grocery & Gourmet,Patanjali,4377.79,2586.55,29.1,3.4,8350,9954.0,192,9.0,SKU-HXSVJ1EA,2025-01-20,YES,No,Lifetime,SUP-9888,clearance|bestseller
1535,Heads Up For Tails Aquarium Filter,Pet Supplies,Heads Up For Tails,7266.66,3636.18,0.8,4.9,3894,351.0,207,13.11,SKU-9VT5DK1C,2025-02-02,Yes,No,6 months,SUP-9766,premium|new|flash
